season,habitat,Carcass ID,Person,MC#,Trial #,carcass,location,WEIGHT,w2,Date/time placed,Date trial End,Date Pulled,TimeRight,What was left?,Fully decomposed?,Fully Decomposed Date/Time,FULLY SCAVENGED BY VERTEBRATE,Time,Status,Species,FPU,F,P,U,SCAVED,Richness,TRIED?,DATE/TIME,TRIED?,DATE/TIME,Ant hill,SCAVENGERS,verts,BTS,Date/Time Scavenged,Monitor Lizard,Date/Time Scavenged,Cane Toad,Date/Time Scavenged,Pig,Date/Time Scavenged,Dog,Date/Time Scavenged,Cat,Date/Time Scavenged,Chicken,Date/Time Scavenged,Rat,Date/Time Scavenged,Mouse,Date/Time Scavenged,inverts,Coconut Crab,Date/Time Scavenged,Land Crab,Date/Time Scavenged,Hermit Crab,Date/Time Scavenged,Unknown,date/time,VISITORS,Verts,BTS,Monitor Lizard,Cane Toad,Frogs,deer,Skink,Pig,Dog,Cat,Chicken,Rat,Gecko,Mouse,Shrew,Gunther's Frog,Francolin,Pacific Reef Heron,Pacific Golden Plover,Yellow Bittern,inverts,Coconut Crab,Land Crab,Snails,Slugs,Hermit Crab,Worm Thing,Spider,Roaches,PASSED,Verts,BTS,Monitor Lizard,Cane Toad,Frogs,Deer,Skink,Pig,Dog,Cat,Chicken,Rat,Mouse,Shrew,Pacific Reef Heron,Pacific Golden Plover,Yellow Bittern,Phillipine Collared Dove,inverts,Coconut Crab,Land Crab,hermit crabs,Snails,Slugs,Worm Thing,Spider,Roaches,VISITORS AFTER DECOMPOSTION,Verts,BTS,Monitor Lizard,Cane Toad,Frogs,Deer,Skink,Pig,Dog,Cat,Chicken,Rat,Mouse,Shrew,Dove,Bittern,inverts,Coconut Crab,Hermit Crab,Land Crab,Snails,Slugs,Butterflies,Notes
DRY,T,LTMO44,LAUREN,H75,11,Mouse,OPEN,39.75,39.75,3/28/2017 10:53,,,Yes,"melted over trigger, <20% flesh",,3/31/2017 12:48,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMO50,KELSEY,H42,10,Mouse,OPEN,39.75,39.75,3/25/2017 15:36,,,Yes,melted over trigger,,3/28/2017 4:12,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,LUMB38,LAUREN,GU36B,10,Mouse,BURROW,39.75,39.75,3/25/2017 13:50,,,Yes,"melted over trigger, <15% flesh, ant mound",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,LUMO37,LAUREN,GU26B,10,Mouse,OPEN,39.75,39.75,3/25/2017 12:59,,,Yes,"<20% flesh, no inverts, tail, bones",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMB45,KELSEY,GU39A,10,Mouse,BURROW,39.75,39.75,3/24/2017 16:13,,,Yes,hollow,,3/27/2017 7:54,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMO44,KELSEY,GU41B,10,Mouse,OPEN,39.75,39.75,3/24/2017 12:38,,,Yes,"hollow, dried",,3/26/2017 10:48,,5,0,,UNSCAVENGED,,,1,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMB42,LAUREN,H74,10,Mouse,BURROW,39.75,39.75,3/24/2017 12:16,,,Yes,"<15% flesh, maggots, hollow carcass",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMO41,KELSEY,GU26A,10,Mouse,OPEN,39.75,39.75,3/23/2017 12:31,,,Yes,"mouse carpet, hollow",,3/26/2017 20:54,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMO39,LAUREN,H75,10,Mouse,OPEN,39.75,39.75,3/23/2017 11:27,,,Yes,"just pelt, bones, pulled off trigger",,3/26/2017 12:54,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMO43,KELSEY,GU49A,9,Mouse,OPEN,39.75,39.75,3/20/2017 12:44,,3/25/2017,Yes,"bones and some fur, ants everywhere",,3/23/2017 14:00,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,LUMO31,LAUREN,H12,9,Mouse,OPEN,39.75,39.75,3/20/2017 11:25,,3/24/2017,Yes,only bones,,3/23/2017 10:18,,5,0,,UNSCAVENGED,,,1,0,0,CANE TOAD,3/21/2017 18:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMO41,KELSEY,GU39A,9,Mouse,OPEN,39.75,39.75,3/19/2017 13:00,,3/24/2017,Yes,"mouse carpet, fell off trigger",,3/22/2017 7:42,,5,0,,UNSCAVENGED,,,1,0,0,CANE TOAD,3/19/2017 11:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMO40,KELSEY,GU13A,9,Mouse,OPEN,39.75,39.75,3/19/2017 11:37,,3/24/2017,Yes,"melted over trigger, few maggots",,3/22/2017 9:18,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMB37,LAUREN,H38,9,Mouse,BURROW,39.75,39.75,3/18/2017 17:03,,,Yes,"fully decomposed in soil, bones",,3/21/2017 23:18,,5,0,,UNSCAVENGED,,,1,0,0,CANE TOAD,3/20/2017 18:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMB37,KELSEY,GU48B,9,Mouse,BURROW,39.75,39.75,3/18/2017 14:33,,,Yes,"mostly gone, little hair, burrow knocked down",,3/21/2017 7:18,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMO36,KELSEY,GU26A,9,Mouse,OPEN,39.75,39.75,3/18/2017 13:22,,,Yes,"melted over trigger, few maggots",,3/22/2017 5:36,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,LUMB28,LAUREN,H2,8,Mouse,BURROW,39.75,39.75,3/15/2017 11:30,3/20/2017,3/20/2017,Yes,"ants buried it, mound as tall as burrow",,3/18/2017 3:36,,5,0,,UNSCAVENGED,,,1,0,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMB37,KELSEY,H31,8,Mouse,BURROW,39.75,39.75,3/14/2017 16:16,,,Yes,a bunch of hair,,3/19/2017 7:48,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMB33,LAUREN,H91,8,Mouse,BURROW,39.75,39.75,3/13/2017 17:08,,,Yes,melted over trigger,NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMB33,KELSEY,GU43A,8,Mouse,BURROW,39.75,39.75,3/13/2017 16:09,,,Yes,melted over trigger,,3/17/2017 8:06,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,
DRY,T,LTMB32,LAUREN,H90,8,Mouse,BURROW,39.75,39.75,3/13/2017 16:07,,,Yes,"melted over trigger, <20% flesh",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMO31,LAUREN,GU37A,8,Mouse,OPEN,39.75,39.75,3/13/2017 14:58,,,Yes,"fell off trigger, <20% flesh",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMO30,LAUREN,GU37B,8,Mouse,OPEN,39.75,39.75,3/13/2017 13:48,,,Yes,"melted over trigger, <40% flesh",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMB31,KELSEY,GU42A,8,Mouse,BURROW,39.75,39.75,3/13/2017 13:18,,,Yes,"melted over trigger, fire ants, trigger broke",,3/16/2017 6:12,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMB29,LAUREN,GU12B,8,Mouse,BURROW,39.75,39.75,3/13/2017 12:23,3/18/2017,,Yes,"mouse still on trigger, some ants, hollow, 30% flesh",,3/16/2017 7:18,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMB32,KELSEY,H48,7,Mouse,BURROW,39.75,39.75,3/9/2017 16:27,3/14/2017,3/14/2017,Yes,"melted over trigger, ants",,3/13/2017 19:42,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMB31,KELSEY,H64,7,Mouse,BURROW,39.75,39.75,3/9/2017 15:34,3/14/2017,3/15/2017,Yes,"hollow on trigger, ants everywhere",,3/11/2017 11:30,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,LUMB23,LAUREN,GU53A,7,Mouse,OPEN,39.75,39.75,3/9/2017 15:22,3/14/2017,3/14/2017,Yes,"partially buried, pelt, fur, bones",,3/12/2017 11:06,,5,0,,UNSCAVENGED,,,1,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMO30,KELSEY,H31,7,Mouse,OPEN,39.75,39.75,3/9/2017 13:46,3/14/2017,3/14/2017,Yes,"melted over trigger, ants, maggots",,3/13/2017 9:36,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMB28,KELSEY,GU27A,7,Mouse,BURROW,39.75,39.75,3/9/2017 10:14,3/14/2017,3/14/2017,Yes,"fire ant mound, melted",,3/11/2017 16:18,,5,0,,UNSCAVENGED,,,1,0,0,BTS,3/10/2017 11:11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
DRY,U,LUMO22,LAUREN,H54,7,Mouse,OPEN,39.75,39.75,3/9/2017 10:11,3/14/2017,3/15/2017,Yes,"carcass melted over trigger, <10% flesh, fur",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMO24,LAUREN,H91,7,Mouse,OPEN,39.75,39.75,3/8/2017 16:30,,,Yes,"melted over trigger, pelt",,3/11/2017 13:00,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMO28,KELSEY,GU43A,7,Mouse,OPEN,39.75,39.75,3/8/2017 15:21,3/13/2017,3/13/2016,Yes,melted over trigger,,3/11/2017 9:12,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMO27,LAUREN,GU37A,7,Mouse,OPEN,39.75,39.75,3/8/2017 14:46,3/13/2017,3/13/2017,Yes,"mouse melted over trigger, pelt, fur",,3/10/2017 12:30,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,KTMO26,KELSEY,GU42A,7,Mouse,OPEN,39.75,39.75,3/8/2017 12:44,3/13/2017,3/13/2016,Yes,melted over trigger,,3/11/2017 8:48,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMB25,LAUREN,GU12B,7,Mouse,BURROW,39.75,39.75,3/8/2017 11:21,3/13/2017,3/13/2017,Yes,"mouse carpet, tail, <10% flesh",NO,,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LUMO21,LAUREN,H84,6,Mouse,OPEN,39.75,39.75,2/24/2017 12:54,,3/1/2017,Yes,"melted over trigger, ants and maggots",,2/27/2017 12:36,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMB25,KELSEY,H79,6,Mouse,BURROW,39.75,39.75,2/24/2017 9:50,,3/1/2017,Yes,"HOLLOW, ON TRIGGER",,2/27/2017 19:48,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
DRY,U,LUMB20,LAUREN,GU15A,6,Mouse,BURROW,39.75,39.75,2/23/2017 15:54,,2/28/2017,Yes,"bones, melted on trigger, pelt/fur, ants, lots of maggots",,2/27/2017 10:24,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,U,KUMB24,KELSEY,H98,6,Mouse,BURROW,39.75,39.75,2/23/2017 14:50,,2/28/2017,Yes,GONE,,2/26/2017 8:30,,5,0,,SCAVENGED AFTER DECOMPOSITION,,,,0,1,CANE TOAD,2/25/2017 6:13,,,,1,,,,,,1,2/27/2017 1:24,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRY,T,LTMB19,LAUREN,H45,6,Mouse,BURROW,39.75,39.75,2/21/2017 11:03,2/26/2017,2/27/2017,Yes,"melted on trigger, ants everywhere, dried up pelt with fur",,2/25/2017 4:00,,5,0,,UNSCAVENGED,,,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
